Question,question_text,Image ID,Response
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,774227979927657_1,3
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,339901604398274_2,0
Other,How many cars can you see in this image?,780342119291654_2,4
Other,How many cars can you see in this image?,780342119291654_2,4
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,780342119291654_2,5
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,12
Other,How many cars can you see in this image?,678566243932880_2,13
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,678566243932880_2,10
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many cars can you see in this image?,794592797864863_2,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,774227979927657_1,7
Other,How many houses can you see in this image?,339901604398274_2,4
Other,How many houses can you see in this image?,339901604398274_2,4
